Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,RockUnits_CSP,RockUnits_LAO
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Pyroclastic rock
Monzodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Monzodiorite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Granite,Amphibolite facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Porphyry,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Conglomerate
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Slate
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Sandstone
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Conglomerate
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Limestone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Limestone
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Granodiorite,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Granite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Granitic rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Undifferentiated breccia
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Anthropogenic material,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Porphyry,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Schist
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Pyroclastic rock
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Quartzite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Pyroclastic rock
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Quartzite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Chert
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
